customer_segment,key,interco,company_name,icao,cage,,,,,
TBD,N,N,Standard Aero,ZZZZZ,,,,,,
TBD,N,N,"Starfish PPS, LLC",ZZZZZ,,,,,,
Airframe OEM,Y,N,SUKHOI CIVIL AIRCRAFTS,ZZZZZ,SAZS5,,,,,
,,N,SuperJet International,ZZZZZ,,,,,,
Aircraft Operators,Y,N,TAP,TAP,,,,,,
TBD,N,N,TECNICAS Y SERVICIOS DE,ZZZZZ,,,,,,
Proponent,N,N,Temco Ltd.,ZZZZZ,,,,,,
TBD,N,N,Teollisuuden Voima Oyj,ZZZZZ,,,,,,
Aircraft Operators,Y,N,Thai Airways,THA,,,,,,
Aircraft Operators,N,N,"THAI LION MENTARI Co., LTD",TLM,,,,,,
Proponent,N,N,Total Aviation Ltd A/S,ZZZZZ,,,,,,
Proponent,N,N,Touchdown Aviation,ZZZZZ,,,,,,
Proponent,N,N,TRADE-AIR UK Ltd,ZZZZZ,,,,,,
Proponent,N,N,TRESCAL,ZZZZZ,,,,,,
,,N,Turbine Services & Solution Ae,ZZZZZ,,,,,,
,,N,TURK HAVA YOLLARI TEKNIK A.S.,ZZZZZ,,,,,,
Integrated Service Providers,Y,N,Turkish Technic,ZZZZZ,,,,,,
Proponent,Y,N,Unical Aviation,ZZZZZ,,,,,,
Aircraft Operators,Y,N,United Airlines,UAL,,,,,,
Engine OEM,Y,N,UTC Aerospace Systems,ZZZZZ,,,,,,
TBD,N,N,VELO AVIATION,ZZZZZ,,,,,,
Aircraft Operators,Y,N,VIETNAM AIRLINES,HVN,,,,,,
Integrated Service Providers,N,N,Virgin Technical Centre,ZZZZZ,,,,,,
,,N,WERNER AERO SERVICES,ZZZZZ,,,,,,
TBD,N,N,Westcoast Energy Inc.,ZZZZZ,,,,,,
Aircraft Operators,Y,N,WestJet,WJA,,,,,,
Aircraft Operators,N,N,WOW AIR,WOW,,,,,,
Proponent,N,N,WYATT AEROSPACE,ZZZZZ,,,,,,
Aircraft Operators,Y,N,Xiamen Airlines,CXA,,,,,,
Proponent,N,N,"ZEEFAX, INC",ZZZZZ,,,,,,
Airframe OEM,Y,N,Zodiac,ZZZZZ,,,,,,
,,,UNKNOWN,ZZZZZ,,,,,,
